age,gender,degree,salary,tax
41,female,MA,9765,698.0
21,male,PhD,9030,551.0
59,female,PhD,11702,1085.4
39,female,BA,7344,279.40000000000003
36,male,PhD,12296,1204.2
41,male,None,8276,400.20000000000005
40,male,MA,10767,898.4000000000001
35,male,MBA,9267,598.4000000000001
46,female,None,6146,159.60000000000002
54,female,MA,11330,1011.0
54,male,BA,11392,1023.4000000000001
24,male,MBA,7864,331.40000000000003
33,female,None,5470,92.0
58,male,MBA,12012,1147.4
41,male,BA,9712,687.4000000000001
49,female,MA,11025,950.0
41,male,MA,11375,1020.0
23,female,BA,4259,22.77
40,female,MA,9450,635.0
37,male,None,8349,414.80000000000007
51,male,PhD,13593,1518.25
57,male,None,12030,1151.0
35,female,MA,8568,458.6
32,male,PhD,11436,1032.2
22,female,None,3328,0.0
23,female,MA,6666,211.60000000000002
45,male,PhD,11850,1115.0
43,female,PhD,9529,650.8
46,female,None,7862,331.20000000000005
46,female,None,6770,222.0
35,female,PhD,7988,343.8
49,female,MBA,10375,820.0
31,male,MA,10464,837.8000000000002
32,female,MBA,6226,167.60000000000002
38,female,MA,8478,440.6
21,male,None,5163,61.30000000000001
59,male,PhD,12807,1321.75
23,female,MBA,5155,60.5
53,male,BA,10661,877.2
34,male,BA,8526,450.20000000000005
28,female,BA,5253,70.30000000000001
36,male,PhD,12256,1196.2
56,male,MBA,13296,1444.0
35,male,BA,8160,377.0
28,male,MBA,8602,465.4000000000001
33,female,MA,7765,321.5
28,male,MBA,7638,308.8
42,male,BA,8817,508.4000000000001
27,male,BA,7215,266.5
51,male,PhD,14607,1771.75
50,female,MBA,10338,812.6000000000001
51,male,None,8596,464.20000000000005
59,female,MBA,12108,1166.6000000000001
56,male,MBA,11410,1027.0
39,female,None,5926,137.60000000000002
44,female,MA,8274,399.80000000000007
22,male,BA,6313,176.3
54,female,PhD,11548,1054.6000000000001
39,male,MA,10690,883.0
44,male,MBA,10608,866.6000000000001
40,male,None,7080,253.0
53,male,None,9125,570.0
31,female,BA,5558,100.80000000000001
32,male,None,7064,251.40000000000003
42,female,MBA,9222,589.4000000000001
35,female,MA,8610,467.0
23,female,None,3333,0.0
31,female,MBA,6713,216.3
36,male,None,6728,217.8
42,male,MBA,10286,802.2
52,male,MBA,11936,1132.2
24,female,PhD,7452,290.20000000000005
48,female,MBA,10092,763.4000000000001
58,male,BA,13263,1435.75
48,male,None,8976,540.2
44,female,None,6552,200.2
37,male,PhD,10821,909.2
37,male,BA,8200,385.0
23,female,None,3423,0.0
55,male,PhD,12832,1328.0
22,male,MBA,7196,264.6
32,female,BA,5546,99.60000000000002
58,female,MA,10909,926.8000000000002
58,female,MBA,10254,795.8000000000002
24,female,MA,6941,239.10000000000002
43,female,None,5875,132.5
57,female,MBA,11337,1012.4000000000001
24,male,BA,6524,197.40000000000003
40,male,None,8040,353.0
22,male,BA,6403,185.3
36,female,MA,8914,527.8
40,female,PhD,10148,774.6000000000001
42,female,BA,7029,247.90000000000003
44,female,None,6864,231.40000000000003
30,female,PhD,8200,385.0
41,female,None,5541,99.10000000000002
32,female,MA,7758,320.8
51,female,None,6999,244.90000000000003
42,male,BA,9035,552.0
36,female,None,5880,133.0
46,female,PhD,12470,1239.0
22,male,PhD,9196,584.2
36,female,MA,9299,604.8
43,male,PhD,13003,1370.75
27,female,None,3833,9.99
48,female,BA,7255,270.5
32,male,MBA,8402,425.4000000000001
29,female,None,4143,19.29
41,male,MA,11366,1018.2
35,female,None,5235,68.5
25,male,MA,8695,484.0
30,male,PhD,9370,619.0
24,female,MA,6935,238.5
52,female,None,7992,344.20000000000005
41,female,MBA,9163,577.6000000000001
48,male,MBA,11698,1084.6000000000001
28,female,MA,7288,273.8
33,male,MA,10023,749.6000000000001
25,female,MA,6179,162.90000000000003
28,male,PhD,10796,904.2
53,male,MA,14174,1663.5
26,female,MBA,5844,129.4
55,male,BA,10576,860.2
57,male,MBA,12675,1288.75
57,male,BA,11967,1138.4
34,male,PhD,11266,998.2
46,male,BA,10555,856.0
33,male,PhD,11042,953.4000000000001
31,female,None,4166,19.98
55,male,MBA,11579,1060.8000000000002
27,male,BA,7249,269.90000000000003
46,male,BA,9861,717.2
43,male,None,7415,286.5
22,female,PhD,7554,300.40000000000003
28,male,None,6400,185.0
35,female,None,5130,58.0
27,female,MBA,6491,194.10000000000002
27,male,None,5749,119.9
31,male,BA,7239,268.90000000000003
54,male,PhD,13822,1575.5
37,male,MBA,9445,634.0
31,male,MBA,8489,442.80000000000007
27,female,PhD,8447,434.4000000000001
55,male,PhD,15399,1969.75
51,male,MBA,10347,814.4000000000001
38,female,MBA,7866,331.6
44,male,BA,10163,777.6000000000001
33,female,MBA,6797,224.70000000000005
27,female,MBA,6267,171.7
53,female,BA,9209,586.8
59,female,MBA,11910,1127.0
36,female,MA,8412,427.4000000000001
41,female,MBA,8082,361.4000000000001
39,male,BA,9296,604.2
27,male,MA,9744,693.8000000000002
55,male,PhD,16578,2264.5
27,female,MBA,5898,134.8
22,male,MBA,7310,276.0
43,female,MBA,8062,357.4000000000001
21,female,MA,6650,210.0
46,male,MA,11625,1070.0
29,male,MA,9404,625.8
44,female,MA,8601,465.20000000000005
48,female,BA,9020,549.0
42,female,MBA,9192,583.4000000000001
59,female,BA,8521,449.20000000000005
56,female,MA,11982,1141.4
51,male,BA,11003,945.6000000000001
21,male,MA,7575,302.5
51,male,BA,10755,896.0
48,male,MBA,10866,918.2
30,female,BA,5126,57.60000000000002
30,male,PhD,10556,856.2
31,male,BA,7972,342.20000000000005
58,female,MA,11436,1032.2
21,male,None,5150,60.0
54,female,None,8814,507.79999999999995
30,female,MBA,6940,239.0
27,female,None,3826,9.78
48,male,PhD,11780,1101.0
33,female,MA,8586,462.20000000000005
28,male,MA,8249,394.80000000000007
33,male,None,6352,180.2
32,male,BA,8098,364.6
34,male,BA,7604,305.40000000000003
33,female,MA,8410,427.0
30,female,PhD,8150,375.0
31,male,MBA,8490,443.0
32,female,BA,5328,77.80000000000001
26,female,MA,7545,299.5
31,female,BA,5241,69.10000000000002
57,male,MA,13537,1504.25
38,female,MA,8673,479.60000000000014
52,female,BA,7651,310.1
30,female,BA,6001,145.10000000000002
22,male,MBA,7606,305.6
33,male,BA,7172,262.20000000000005
31,female,None,4463,28.89
23,female,MBA,5549,99.9
53,female,BA,9866,718.2
34,female,None,5100,55.0
32,male,MBA,8874,519.8
45,female,None,7850,330.0
46,male,MBA,11566,1058.2
40,male,MBA,10172,779.4000000000001
39,male,MA,10810,907.0
49,male,PhD,14495,1743.75
22,male,MA,8396,424.20000000000005
58,male,PhD,15520,2000.0
31,female,MBA,6687,213.70000000000005
40,female,MBA,8364,417.80000000000007
34,female,MA,7910,336.0
28,female,None,4112,18.36
53,female,MA,12600,1270.0
33,male,PhD,11071,959.2
23,male,PhD,9015,548.0
33,male,BA,7997,344.70000000000005
45,female,None,6825,227.5
42,male,MA,10238,792.6000000000001
48,male,None,9424,629.8
25,female,None,3570,2.1
53,female,PhD,10908,926.6000000000001
51,male,BA,11065,958.0
34,male,None,6946,239.60000000000002
36,female,PhD,9188,582.6000000000001
31,female,MBA,7513,296.3
33,female,PhD,9236,592.2
46,female,PhD,11974,1139.8000000000002
34,female,MA,8345,414.0
46,male,BA,8929,530.8
29,female,MBA,6280,173.0
33,male,PhD,10263,797.6000000000001
30,male,None,6770,222.0
33,male,MA,10472,839.4000000000001
52,female,MBA,9422,629.4000000000001
58,male,None,11004,945.8000000000002
30,female,MA,7386,283.6
35,female,MA,9099,564.8
44,female,MBA,8588,462.6
56,male,MBA,12758,1309.5
37,female,None,5669,111.9
24,male,MBA,7414,286.40000000000003
47,male,None,9401,625.2
59,male,PhD,14061,1635.25
58,female,BA,10261,797.2
43,male,MBA,10279,800.8000000000002
32,male,MA,9929,730.8000000000002
39,male,BA,8876,520.2
48,male,PhD,13636,1529.0
46,male,MBA,12102,1165.4
40,male,MBA,10888,922.6000000000001
35,male,MBA,9789,702.8000000000002
25,female,BA,4510,30.299999999999997
55,female,MA,9896,724.2
50,female,None,7920,337.0
36,male,MA,10697,884.4000000000001
22,female,MBA,5368,81.80000000000001
55,female,BA,8742,493.4000000000001
45,male,MA,11246,994.2
28,male,MA,8390,423.0
48,male,None,10180,781.0
59,female,MA,9348,614.6000000000001
46,male,PhD,11616,1068.2
30,male,BA,7725,317.5
47,female,MBA,9817,708.4000000000001
43,male,None,9301,605.2
55,male,MA,11920,1129.0
23,female,MA,6438,188.8
32,female,MA,8190,383.0
30,female,MBA,6178,162.8
57,male,MA,11881,1121.2
27,male,MBA,7954,340.40000000000003
25,male,MA,9183,581.6000000000001
41,male,None,8318,408.6
42,female,BA,7791,324.1
57,male,BA,12392,1223.4
37,male,MBA,10163,777.6000000000001
22,female,PhD,7996,344.6
20,male,MA,7991,344.1
39,female,BA,7075,252.5
54,female,BA,10090,763.0
42,male,PhD,12104,1165.8000000000002
38,female,MA,7773,322.3
40,male,BA,9768,698.6000000000001
30,male,MBA,8328,410.6
35,male,None,7685,313.5
23,male,PhD,9000,545.0
31,male,None,6364,181.40000000000003
22,female,MBA,5468,91.80000000000001
29,male,MA,9047,554.4000000000001
57,female,MA,11601,1065.2
32,male,BA,7790,324.0
59,female,MBA,10702,885.4000000000001
24,male,BA,6742,219.20000000000005
28,female,MBA,6366,181.60000000000002
40,female,MBA,7398,284.8
33,female,MA,7972,342.20000000000005
24,male,PhD,9512,647.4000000000001
40,male,BA,8654,475.79999999999995
41,female,MA,8775,500.0
37,female,BA,7115,256.5
54,female,BA,8831,511.20000000000005
46,male,MA,11912,1127.4
34,male,PhD,10658,876.6000000000001
36,male,PhD,11360,1017.0
46,female,BA,8468,438.6
58,female,None,9042,553.4000000000001
39,male,None,6995,244.5
27,male,None,6337,178.7
29,female,None,4647,34.41
56,female,MA,12672,1288.0
29,female,MA,7458,290.8
55,female,PhD,12070,1159.0
44,male,BA,10215,788.0
35,female,PhD,8844,513.8
20,female,PhD,6924,237.40000000000003
24,male,MBA,7856,330.6
38,female,MA,7749,319.90000000000003
46,female,MA,8868,518.6000000000001
42,male,BA,9954,735.8000000000002
36,female,None,5544,99.4
59,female,MA,14040,1630.0
58,female,BA,10585,862.0
46,female,MBA,7670,312.0
22,female,MA,5713,116.30000000000001
31,female,MBA,6570,202.0
51,male,MBA,11879,1120.8000000000002
36,female,None,6184,163.40000000000003
31,female,PhD,9516,648.2
49,female,MBA,10036,752.2
42,female,MA,8510,447.0
30,male,MBA,8012,347.4000000000001
39,male,MBA,9285,602.0
24,female,BA,4779,38.37
50,female,MBA,9402,625.4000000000001
53,male,MA,12818,1324.5
56,female,BA,9593,663.6000000000001
59,female,PhD,12891,1342.75
57,female,None,6885,233.5
46,female,BA,7885,333.5
23,male,MBA,7627,307.70000000000005
27,male,MBA,8055,356.0
50,female,BA,9330,611.0
50,male,PhD,15158,1909.5
58,female,None,9498,644.6000000000001
53,female,PhD,10416,828.2
22,female,MA,5845,129.5
52,male,BA,10625,870.0
30,female,MA,7630,308.0
52,male,MA,12053,1155.6000000000001
45,male,BA,9539,652.8
55,female,MA,10426,830.2
28,female,MA,6963,241.3
33,male,MBA,9405,626.0
33,female,PhD,8919,528.8
22,female,MBA,5760,121.0
27,male,None,5889,133.9
57,male,MA,11881,1121.2
23,female,MBA,5293,74.30000000000001
49,male,MA,11252,995.4000000000001
51,male,None,10766,898.2
24,male,None,5428,87.80000000000001
21,male,MA,8346,414.20000000000005
30,female,None,4110,18.3
33,female,MBA,6538,198.8
57,female,MA,11448,1034.6000000000001
20,female,MBA,4892,41.76
38,female,BA,6988,243.8
24,male,MA,7967,341.70000000000005
42,female,None,7290,274.0
31,female,MBA,6161,161.10000000000002
25,female,PhD,7444,289.40000000000003
38,female,PhD,10528,850.6000000000001
38,male,None,7682,313.20000000000005
28,female,MA,7628,307.8
58,female,MBA,9884,721.8000000000002
55,male,MBA,12975,1363.75
46,male,None,8094,363.80000000000007
55,female,BA,9420,629.0
56,male,MBA,12654,1283.5
35,female,BA,6577,202.70000000000005
27,male,None,6134,158.40000000000003
30,male,BA,7580,303.0
32,female,None,4944,43.32
56,female,MBA,9432,631.4000000000001
53,male,BA,9881,721.2
27,male,None,5791,124.10000000000002
38,female,MA,8802,505.4000000000001
37,female,None,5805,125.5
49,female,None,7640,309.0
51,male,None,8317,408.4000000000001
33,male,MA,9679,680.8000000000002
31,male,MA,8722,489.4000000000001
52,female,MBA,8946,534.2
52,female,None,9368,618.6000000000001
57,female,PhD,12852,1333.0
32,female,MA,8454,435.80000000000007
33,female,MA,8001,345.20000000000005
53,male,None,10775,900.0
28,male,BA,7414,286.40000000000003
36,male,MA,10452,835.4000000000001
52,female,MBA,9972,739.4000000000001
39,female,MBA,8036,352.20000000000005
39,male,BA,8675,480.0
20,male,PhD,9560,657.0
30,male,PhD,11312,1007.4000000000001
28,male,PhD,10952,935.4000000000001
24,female,None,3480,0.0
41,male,None,7709,315.90000000000003
42,male,PhD,12914,1348.5
47,male,None,8753,495.60000000000014
27,male,BA,6581,203.10000000000002
24,male,MBA,7584,303.40000000000003
49,female,None,8713,487.60000000000014
44,male,None,8744,493.79999999999995
24,male,None,5744,119.4
53,female,BA,10035,752.0
31,male,MA,10008,746.6000000000001
27,male,PhD,9009,546.8
58,female,BA,8697,484.4000000000001
30,male,PhD,9272,599.4000000000001
58,male,PhD,15142,1905.5
37,female,PhD,8491,443.20000000000005
27,male,MA,9168,578.6000000000001
29,female,BA,5615,106.5
51,male,BA,12051,1155.2
25,male,MA,8413,427.6
57,female,BA,10736,892.2
53,female,MA,9522,649.4000000000001
59,female,BA,8668,478.60000000000014
35,female,MBA,6848,229.8
24,male,None,5524,97.4
32,male,BA,7889,333.90000000000003
23,male,MBA,7404,285.40000000000003
46,male,None,7756,320.6
24,female,BA,4511,30.33
28,female,None,4344,25.32
52,male,MBA,12036,1152.2
59,female,BA,10575,860.0
57,male,BA,12262,1197.4
29,female,MBA,6780,223.0
27,male,None,5847,129.70000000000002
42,male,PhD,11744,1093.8000000000002
26,male,MA,8222,389.4000000000001
27,female,None,3700,6.0
24,female,PhD,7440,289.0
59,male,None,11825,1110.0
41,female,MBA,8684,481.79999999999995
36,male,None,6632,208.20000000000005
33,male,None,6794,224.40000000000003
51,male,BA,10827,910.4000000000001
22,female,MA,5651,110.10000000000002
25,male,MA,8642,473.4000000000001
58,male,MBA,13376,1464.0
38,female,BA,7573,302.3
44,male,BA,9383,621.6000000000001
39,male,PhD,11416,1028.2
54,male,BA,12614,1273.5
27,male,MA,9791,703.2
30,female,MBA,6892,234.20000000000005
46,male,MA,11680,1081.0
44,male,PhD,12320,1209.0
51,male,MA,13459,1484.75
55,male,MBA,11663,1077.6000000000001
43,male,MBA,9858,716.6000000000001
32,female,PhD,8388,422.6
53,female,None,6300,175.0
33,male,PhD,11435,1032.0
38,female,None,5448,89.80000000000001
23,male,PhD,9787,702.4000000000001
45,male,BA,10949,934.8000000000002
27,male,BA,6881,233.10000000000002
28,male,None,6008,145.8
32,female,BA,5750,120.0
33,male,None,6560,201.0
56,male,None,10616,868.2
32,male,None,7040,249.0
31,male,None,7013,246.3
54,female,None,6468,191.8
59,female,PhD,13069,1387.25
36,female,None,4872,41.16
33,female,PhD,7880,333.0
25,female,MBA,5773,122.30000000000001
30,male,BA,7167,261.70000000000005
32,male,MA,9689,682.8000000000002
30,female,None,4740,37.199999999999996
30,male,MBA,8002,345.4000000000001
31,male,MBA,8214,387.80000000000007
52,female,PhD,13636,1529.0
29,female,MA,7446,289.6
31,male,MBA,8875,520.0
28,male,BA,7573,302.3
47,female,MA,8328,410.6
51,female,MBA,8208,386.6
55,male,None,8780,501.0
48,male,None,9788,702.6000000000001
56,male,MA,14207,1671.75
59,female,MA,10152,775.4000000000001
59,male,None,10538,852.6000000000001
23,male,MBA,7704,315.40000000000003
24,male,None,5508,95.80000000000001
21,male,None,5142,59.20000000000002
32,male,BA,7309,275.90000000000003
58,male,PhD,16004,2121.0
46,female,PhD,11834,1111.8000000000002
58,female,MBA,12276,1200.2
31,male,BA,7434,288.40000000000003
44,female,PhD,9980,741.0
52,female,MBA,8494,443.80000000000007
41,male,None,7751,320.1
45,male,BA,9781,701.2
20,male,None,5000,45.0
26,male,BA,6922,237.20000000000005
23,female,MBA,5402,85.20000000000002
40,male,None,7460,291.0
47,male,BA,11041,953.2
20,male,MBA,6826,227.60000000000002
57,female,None,6700,215.0
28,male,MA,9851,715.2
48,male,MBA,11942,1133.4
36,female,BA,6681,213.10000000000002
41,male,PhD,11826,1110.2
39,male,MA,12172,1179.4
30,female,None,4970,44.1
